geoUnit,Year,RegionArea,VLNS,VLNS_num,VLS,VLS_num,HCTS,Population,ART2coverage,Unigold.HIV.1.2_Test_Eligible,CumNumPersNotOnART_perc,Tenofovir.300Mg.Lamivudine.300Mg.Efavirenz.600Mg.Tablets_Treatment_Stockout,HIVprevalence_num,Efavirenz.600Mg.Tablets_Treatment_Eligible,Zidovudine.60Mg.Lamivudine.30Mg.Nevirapine.50Mg.Tablets_Treatment_Available,Nevirapine.Oral.Solution_Treatment_Stockout,Nevirapine.Oral.Solution_Treatment_Available,Determine.HIV.1.2_Test_Stockout,Determine.HIV.1.2_Test_Unavailable,Nevirapine.Oral.Solution_Treatment_Unavailable_pct,Efavirenz.600Mg.Tablets_Treatment_Stockout,Efavirenz.600Mg.Tablets_Treatment_Unavailable,Zidovudine.60Mg.Lamivudine.30Mg.Nevirapine.50Mg.Tablets_Treatment_Stockout,Zidovudine.60Mg.Lamivudine.30Mg.Nevirapine.50Mg.Tablets_Treatment_Eligible,HIVprevalence,Unigold.HIV.1.2_Test_Unavailable,CumNumPersOnART,Efavirenz.600Mg.Tablets_Treatment_Unavailable_pct,Tenofovir.300Mg.Lamivudine.300Mg.Efavirenz.600Mg.Tablets_Treatment_Unavailable,Unigold.HIV.1.2_Test_Unavailable_pct,Tenofovir.300Mg.Lamivudine.300Mg.Efavirenz.600Mg.Tablets_Treatment_Eligible,Unigold.HIV.1.2_Test_Stockout,Nevirapine.Oral.Solution_Treatment_Eligible,Tenofovir.300Mg.Lamivudine.300Mg.Efavirenz.600Mg.Tablets_Treatment_Unavailable_pct,Determine.HIV.1.2_Test_Unavailable_pct,Zidovudine.60Mg.Lamivudine.30Mg.Nevirapine.50Mg.Tablets_Treatment_Unavailable,Zidovudine.60Mg.Lamivudine.30Mg.Nevirapine.50Mg.Tablets_Treatment_Unavailable_pct,rptHIVcases,Tenofovir.300Mg.Lamivudine.300Mg.Efavirenz.600Mg.Tablets_Treatment_Available,Nevirapine.Oral.Solution_Treatment_Unavailable,CumNumPersEnrolledInHIV,Efavirenz.600Mg.Tablets_Treatment_Available,Health_spendingPerCapita,CurrNumPersOnART,Unigold.HIV.1.2_Test_Available,VCTcases_new,NumPersPerSqKm
Arusha,2016,37576.0,24.4332493702771,97.0,75.5667506297229,300.0,27.75,1890700.0,0.04,2896.0,59.3282450244766,171.0,117471.66666666699,1334.0,1136.0,313.0,1865.0,172.0,236.0,0.14488766620816101,226.0,235.0,207.0,1349.0,3.1666666666666696,154.0,,0.17616191904048,185.0,0.0531767955801105,2211.0,116.0,2181.0,0.0836725463591135,0.102341717259324,213.0,0.157894736842105,,2026.0,316.0,,1099.0,,,2742.0,,50.0
Dar es Salaam,2016,1393.0,43.1876606683805,168.0,56.8123393316195,221.0,35.9583333333333,5465400.0,0.037000000000000005,1303.0,40.1073880099556,173.0,266861.0,944.0,893.0,190.0,1163.0,224.0,88.0,0.0506122448979592,227.0,52.0,231.0,954.0,5.8,58.0,75615.0,0.0550847457627118,44.0,0.044512663085187996,1205.0,170.0,1225.0,0.0365145228215767,0.0737636211232188,61.0,0.0639412997903563,,1161.0,62.0,,892.0,,,1245.0,,3923.0
Dodoma,2016,41311.0,100.0,0.0,0.0,0.0,27.75,2264500.0,0.044000000000000004,2797.0,54.6539674768844,271.0,90599.8541666667,1110.0,871.0,248.0,2220.0,260.0,348.0,0.13484021823850398,202.0,251.0,200.0,1131.0,,347.0,,0.226126126126126,360.0,0.124061494458348,2451.0,221.0,2566.0,0.1468788249694,0.164150943396226,260.0,0.22988505747126398,,2091.0,346.0,,859.0,,,2450.0,,55.0
Geita,2016,20054.0,12.7702028599934,384.0,87.2297971400066,2623.0,38.5,1932200.0,0.0074,1256.0,42.3137354138975,46.0,45231.0,766.0,682.0,49.0,1147.0,183.0,173.0,0.0441666666666667,114.0,109.0,97.0,771.0,5.0,125.0,,0.14229765013054801,45.0,0.0995222929936306,1175.0,125.0,1200.0,0.0382978723404256,0.152691968225949,89.0,0.11543450064850802,,1130.0,53.0,,657.0,,,1131.0,,96.0
Iringa,2016,35503.0,14.7921760391199,121.0,85.20782396088009,697.0,39.0833333333333,984900.0,0.026000000000000002,1548.0,40.0614213279163,79.0,85653.0,983.0,801.0,106.0,1435.0,134.0,112.0,0.0818937939859246,274.0,193.0,248.0,958.0,6.2,158.0,,0.196337741607325,86.0,0.10206718346253199,1550.0,145.0,1563.0,0.055483870967742,0.11889596602972399,157.0,0.163883089770355,,1464.0,128.0,,790.0,,,1390.0,,28.0
Kagera,2016,25265.0,11.420204978038099,156.0,88.5797950219619,1210.0,41.625,2789600.0,0.021,1812.0,42.3137354138975,57.0,45231.0,888.0,814.0,103.0,1619.0,39.0,-20.0,0.0684695051783659,91.0,80.0,85.0,877.0,5.45,60.0,,0.0900900900900901,66.0,0.0331125827814569,1722.0,51.0,1738.0,0.0383275261324042,-0.0161681487469685,63.0,0.071835803876853,,1656.0,119.0,,808.0,,,1752.0,,110.0
Katavi,2016,45843.0,8.5294117647059,58.0,91.47058823529409,622.0,211.0,642600.0,0.01,329.0,38.6168819506882,6.0,62281.0,180.0,169.0,15.0,303.0,9.0,5.0,0.0619195046439629,13.0,10.0,16.0,186.0,,9.0,,0.0555555555555556,6.0,0.0273556231003039,317.0,6.0,323.0,0.0189274447949527,0.0413223140495868,17.0,0.0913978494623656,,311.0,20.0,,170.0,,,320.0,,14.0
Kigoma,2016,37040.0,15.5427631578948,189.0,84.4572368421052,1027.0,28.4583333333333,2342300.0,0.027000000000000003,2335.0,57.96970470440721,353.0,70373.75,1348.0,779.0,440.0,1734.0,591.0,578.0,0.22346618898343001,545.0,499.0,587.0,1336.0,3.4,326.0,5126.0,0.370178041543027,377.0,0.139614561027837,2199.0,309.0,2233.0,0.171441564347431,0.26648224988474,557.0,0.41691616766467104,,1822.0,499.0,,849.0,,,2009.0,,63.0
Kilimanjaro,2016,13250.0,25.543361308371,1187.0,74.456638691629,3460.0,34.6875,1759000.0,0.053,2366.0,42.558364854157404,60.0,87469.0,1278.0,1200.0,162.0,1986.0,92.0,120.0,0.09397810218978099,63.0,51.0,65.0,1287.0,4.9,126.0,,0.039906103286385,105.0,0.0532544378698225,2166.0,54.0,2192.0,0.0484764542936288,0.0646551724137931,87.0,0.0675990675990676,,2061.0,206.0,,1227.0,,,2240.0,,133.0
Lindi,2016,66040.0,100.0,0.0,0.0,0.0,36.0954861111111,897500.0,0.03,1801.0,50.06738113474749,125.0,64821.0,1249.0,1050.0,162.0,1593.0,254.0,227.0,0.103545301069218,218.0,202.0,212.0,1244.0,1.6,88.0,8191.5,0.161729383506805,132.0,0.0488617434758467,1769.0,80.0,1777.0,0.0746184284906727,0.142319749216301,194.0,0.155948553054662,,1637.0,184.0,,1047.0,,,1713.0,,14.0
